Availability,Performance ,Quality,OEE
91,99,99,89
97,87,99,84
88,98,99,85
74,92,98,67
91,86,99,77
82,99,99,80
87,98,99,84
93,100,99,92
98,97,99,94
97,93,99,89
62,96,99,59
84,81,99,67
73,100,99,72
84,92,99,77
92,95,99,87
97,100,99,96
86,96,99,82
91,94,100,86
96,97,99,92
97,98,99,94
95,96,100,91
73,87,98,62
98,69,98,66
87,84,100,73
92,83,99,76
97,99,100,96
89,97,99,85
93,92,99,85
83,91,100,76
82,96,99,78
93,96,99,88
88.37,92.97,99.07,81.37
