Availability,Performance ,Quality,OEE
98,96,99,93
89,94,99,83
93,93,99,86
86,96,99,82
88,90,99,78
92,96,99,87
91,94,99,85
97,95,99,91
98,96,99,93
88,95,99,83
90,92,99,82
92,90,99,82
89,83,99,73
97,87,99,84
90,98,99,87
92,98,99,89
93,89,99,82
92,93,100,86
96,96,99,91
92,95,99,87
90,99,100,89
91,79,98,70
98,69,98,66
84,87,100,73
93,91,99,84
97,99,100,96
94,92,99,86
93,92,99,85
86,87,100,75
98,95,100,93
93,96,99,88
92.26,92.00,99.13,84.15
