Availability,Performance ,Quality,OEE
98,88,99,85
92,91,99,83
92,93,99,85
85,89,99,75
85,93,99,78
86,94,99,80
91,93,99,84
93,96,99,88
98,97,99,94
91,95,99,86
73,82,99,59
88,94,99,82
82,90,99,73
91,93,99,84
88,99,99,86
97,99,99,95
92,89,99,81
85,90,100,77
96,97,99,92
90,98,99,87
95,96,100,91
90,79,98,70
98,69,98,66
81,91,100,74
92,83,99,76
97,99,100,96
91,94,99,85
93,92,99,85
87,86,100,75
88,89,99,78
90.17,91.27,99.10,81.62
